,sws_rw,sws_gb,sws_ms,sws_fa,sws_rs,sws_total
lh.17Networks_LH_DefaultA_PFCd_1.label_volume,NA,NA,0.004346708,NA,NA,NA
zfALFF_rHipp_L,NA,NA,NA,NA,NA,0.039014523
zfALFF_mAmyg_L,NA,NA,NA,NA,NA,0.046684393
zfALFF_17Networks_RH_ContA_PFCl_4,NA,NA,NA,NA,0.045182772,NA
zfALFF_17Networks_RH_ContA_PFCl_1,NA,NA,NA,NA,0.024631402,NA
zfALFF_17Networks_RH_SalVentAttnB_PFCl_1,NA,NA,NA,NA,0.048939126,NA
zfALFF_17Networks_RH_SalVentAttnB_PFClv_1,NA,NA,NA,NA,0.049115915,NA
zfALFF_17Networks_RH_SomMotB_S2_6,NA,NA,NA,NA,0.003215177,NA
zfALFF_17Networks_RH_SomMotB_S2_1,NA,NA,NA,NA,0.010785442,NA
zfALFF_17Networks_RH_SomMotA_1,NA,NA,NA,0.047033211,NA,0.049981544
zfALFF_17Networks_LH_LimbicA_TempPole_6,NA,NA,NA,0.036209182,NA,0.004142855
zfALFF_17Networks_LH_SalVentAttnA_Ins_1,NA,NA,NA,NA,0.042081234,0.026053965
